Pipeline,Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Rozptyl_AUC,CV_pct,Konzistencia,Fold1,Fold2,Fold3,Fold4,Fold5,Sensitivity,Sens_std,Specificity,Spec_std,F1,F1_std,Klinicky_score
P1_anamneza,Extra Trees,0.8416,0.0117,0.8271,0.8559,0.0288,1.39,konzistentne,0.8304,0.8407,0.8271,0.8537,0.8559,0.8108,0.0515,0.6667,0.0691,0.78,0.0112,0.8189
P1_anamneza,Random Forest,0.8113,0.0183,0.7772,0.8289,0.0517,2.25,konzistentne,0.8095,0.7772,0.8237,0.8171,0.8289,0.8156,0.0501,0.6485,0.0492,0.7773,0.0251,0.8074
P3_kombinacia,Extra Trees,0.8682,0.0309,0.8311,0.912,0.0809,3.56,akceptovatelne,0.8348,0.884,0.8792,0.912,0.8311,0.811,0.0396,0.7333,0.0445,0.801,0.0291,0.7983
P3_kombinacia,Random Forest,0.8515,0.0412,0.7926,0.8925,0.0999,4.84,akceptovatelne,0.7926,0.8906,0.8925,0.8692,0.8126,0.8062,0.0353,0.7273,0.0636,0.7965,0.0297,0.7896
P2_dotaznik,Extra Trees,0.843,0.0434,0.785,0.9006,0.1156,5.15,akceptovatelne,0.785,0.8829,0.9006,0.8097,0.8367,0.7772,0.0687,0.7091,0.0492,0.7721,0.0482,0.7723
P2_dotaznik,Random Forest,0.8352,0.0474,0.7644,0.8995,0.1351,5.68,akceptovatelne,0.7644,0.8695,0.8995,0.8049,0.8378,0.7966,0.0621,0.6606,0.0353,0.7693,0.0399,0.7701
P1_anamneza,XGBoost,0.7928,0.0346,0.7554,0.8463,0.0909,4.37,akceptovatelne,0.7554,0.7738,0.8463,0.7679,0.8204,0.7959,0.0633,0.7394,0.0411,0.7931,0.0375,0.7668
P3_kombinacia,XGBoost,0.8161,0.0526,0.7518,0.9113,0.1595,6.45,variabilne,0.7518,0.8204,0.9113,0.796,0.8012,0.811,0.0765,0.7455,0.087,0.8041,0.0413,0.7419
P2_dotaznik,XGBoost,0.8,0.0336,0.7565,0.8507,0.0942,4.2,akceptovatelne,0.7698,0.8108,0.8507,0.7565,0.8123,0.7285,0.045,0.7212,0.0353,0.7459,0.0304,0.7396
P3_kombinacia,SVM,0.7628,0.0446,0.7121,0.8211,0.109,5.84,akceptovatelne,0.7121,0.8211,0.8115,0.7332,0.7361,0.7769,0.0265,0.6121,0.1003,0.7454,0.0412,0.7296
P2_dotaznik,CatBoost,0.7976,0.0537,0.7424,0.8662,0.1238,6.73,variabilne,0.7424,0.8662,0.8574,0.7469,0.7753,0.7624,0.0458,0.697,0.0192,0.7599,0.0308,0.7087
P3_kombinacia,CatBoost,0.7598,0.0586,0.6962,0.8396,0.1434,7.71,variabilne,0.7201,0.8396,0.8211,0.7221,0.6962,0.7768,0.0602,0.6485,0.0528,0.7542,0.0437,0.6939
P2_dotaznik,SVM,0.7771,0.0555,0.6936,0.8485,0.1548,7.14,variabilne,0.7446,0.8248,0.8485,0.6936,0.7738,0.7574,0.037,0.6485,0.1336,0.7444,0.0418,0.6922
P1_anamneza,CatBoost,0.6769,0.0267,0.6328,0.7169,0.0842,3.95,konzistentne,0.6328,0.6792,0.7169,0.6807,0.6748,0.6412,0.0881,0.6121,0.0927,0.655,0.0516,0.6852
P2_dotaznik,Logist. regresia,0.7358,0.0505,0.6722,0.816,0.1438,6.86,variabilne,0.6941,0.7591,0.816,0.6722,0.7376,0.7233,0.0545,0.6667,0.1134,0.7279,0.0577,0.6669
P1_anamneza,SVM,0.6054,0.0185,0.5859,0.6282,0.0424,3.06,konzistentne,0.5859,0.6275,0.592,0.6282,0.5935,0.5923,0.1034,0.5636,0.1403,0.6061,0.0384,0.6334
P3_kombinacia,Logist. regresia,0.6888,0.0751,0.595,0.7916,0.1966,10.9,variabilne,0.619,0.7517,0.7916,0.595,0.6866,0.6943,0.0538,0.5697,0.0799,0.681,0.0447,0.6242
P1_anamneza,Logist. regresia,0.5079,0.0689,0.4316,0.612,0.1803,13.57,variabilne,0.5202,0.5432,0.4324,0.4316,0.612,0.4516,0.0689,0.5394,0.1426,0.4944,0.0361,0.4593
